param c_rm :=
1 1 15.47
1 2 14.75
1 3 14.120000000000001
1 4 13.94
1 5 12.24
2 1 15.47
2 2 14.75
2 3 14.120000000000001
2 4 13.94
2 5 12.24
3 1 15.47
3 2 14.75
3 3 14.120000000000001
3 4 13.94
3 5 12.24
4 1 15.47
4 2 14.75
4 3 14.120000000000001
4 4 13.94
4 5 12.24
5 1 15.47
5 2 14.75
5 3 14.120000000000001
5 4 13.94
5 5 12.24
6 1 22.869999999999997
6 2 22.740000000000002
6 3 22.53
6 4 22.439999999999998
6 5 19.549999999999997
7 1 22.869999999999997
7 2 22.740000000000002
7 3 22.53
7 4 22.439999999999998
7 5 19.549999999999997
8 1 22.869999999999997
8 2 22.740000000000002
8 3 22.53
8 4 22.439999999999998
8 5 19.549999999999997
9 1 22.869999999999997
9 2 22.740000000000002
9 3 22.53
9 4 22.439999999999998
9 5 19.549999999999997
10 1 15.47
10 2 14.75
10 3 14.120000000000001
10 4 13.94
10 5 12.24
11 1 15.47
11 2 14.75
11 3 14.120000000000001
11 4 13.94
11 5 12.24
12 1 15.47
12 2 14.75
12 3 14.120000000000001
12 4 13.94
12 5 12.24
;
