param cfbrA :=
CHP 1R 1 0.008407949125596186
CHP 1R 2 0.008407949125596186
CHP 1R 3 0.008407949125596186
CHP 1R 4 0.008407949125596186
CHP 1R 5 0.008407949125596186
CHP 1W 1 0.008407949125596186
CHP 1W 2 0.008407949125596186
CHP 1W 3 0.008407949125596186
CHP 1W 4 0.008407949125596186
CHP 1W 5 0.008407949125596186
CHP 1X 1 0.008407949125596186
CHP 1X 2 0.008407949125596186
CHP 1X 3 0.008407949125596186
CHP 1X 4 0.008407949125596186
CHP 1X 5 0.008407949125596186
CHP 1S 1 0.008407949125596186
CHP 1S 2 0.008407949125596186
CHP 1S 3 0.008407949125596186
CHP 1S 4 0.008407949125596186
CHP 1S 5 0.008407949125596186
UTIL1 1R 1 1
UTIL1 1R 2 1
UTIL1 1R 3 1
UTIL1 1R 4 1
UTIL1 1R 5 1
UTIL1 1W 1 1
UTIL1 1W 2 1
UTIL1 1W 3 1
UTIL1 1W 4 1
UTIL1 1W 5 1
UTIL1 1X 1 1
UTIL1 1X 2 1
UTIL1 1X 3 1
UTIL1 1X 4 1
UTIL1 1X 5 1
UTIL1 1S 1 1
UTIL1 1S 2 1
UTIL1 1S 3 1
UTIL1 1S 4 1
UTIL1 1S 5 1
UTIL1 2R 1 1
UTIL1 2R 2 1
UTIL1 2R 3 1
UTIL1 2R 4 1
UTIL1 2R 5 1
UTIL1 T 1 1
UTIL1 T 2 1
UTIL1 T 3 1
UTIL1 T 4 1
UTIL1 T 5 1
BOILER 1R 1 1.25
BOILER 1R 2 1.25
BOILER 1R 3 1.25
BOILER 1R 4 1.25
BOILER 1R 5 1.25
BOILER 1W 1 1.25
BOILER 1W 2 1.25
BOILER 1W 3 1.25
BOILER 1W 4 1.25
BOILER 1W 5 1.25
BOILER 1X 1 1.25
BOILER 1X 2 1.25
BOILER 1X 3 1.25
BOILER 1X 4 1.25
BOILER 1X 5 1.25
BOILER 1S 1 1.25
BOILER 1S 2 1.25
BOILER 1S 3 1.25
BOILER 1S 4 1.25
BOILER 1S 5 1.25
BOILER 2R 1 1.25
BOILER 2R 2 1.25
BOILER 2R 3 1.25
BOILER 2R 4 1.25
BOILER 2R 5 1.25
BOILER T 1 1.25
BOILER T 2 1.25
BOILER T 3 1.25
BOILER T 4 1.25
BOILER T 5 1.25
;
param cfbrB :=
CHP 1R 1 0.0008136724960254357
;
param eta_b := 0.8;
param eta_ec := 0.314;
param eta_ac := 0.314;
;
