param fP :=
CHP 1R 1 1.0
CHP 1R 2 1.0
CHP 1R 3 1.0
CHP 1R 4 1.0
CHP 1R 5 1.0
CHP 1R 6 1.0
CHP 1R 7 1.0
CHP 1R 8 1.0
CHP 1R 9 1.0
CHP 1R 10 1.0
CHP 1R 11 1.0
CHP 1R 12 1.0
CHP 1R 13 1.0
CHP 1R 14 1.0
CHP 1R 15 1.0
CHP 1R 16 1.0
CHP 1R 17 1.0
CHP 1R 18 1.0
CHP 1R 19 1.0
CHP 1R 20 1.0
CHP 1R 21 1.0
CHP 1R 22 1.0
CHP 1R 23 1.0
CHP 1R 24 1.0
CHP 1R 25 1.0
CHP 1R 26 1.0
CHP 1R 27 1.0
CHP 1R 28 1.0
CHP 1R 29 1.0
CHP 1R 30 1.0
CHP 1R 31 1.0
CHP 1R 32 1.0
CHP 1R 33 1.0
CHP 1R 34 1.0
CHP 1R 35 1.0
CHP 1R 36 1.0
CHP 1R 37 1.0
CHP 1R 38 1.0
CHP 1R 39 1.0
CHP 1R 40 1.0
CHP 1R 41 1.0
CHP 1R 42 1.0
CHP 1R 43 1.0
CHP 1R 44 1.0
CHP 1R 45 1.0
CHP 1R 46 1.0
CHP 1R 47 1.0
CHP 1R 48 1.0
CHP 1R 49 1.0
CHP 1R 50 1.0
CHP 1R 51 1.0
CHP 1R 52 1.0
CHP 1R 53 1.0
CHP 1R 54 1.0
CHP 1R 55 1.0
CHP 1R 56 1.0
CHP 1R 57 1.0
CHP 1R 58 1.0
CHP 1R 59 1.0
CHP 1R 60 1.0
CHP 1R 61 1.0
CHP 1R 62 1.0
CHP 1R 63 1.0
CHP 1R 64 1.0
CHP 1R 65 1.0
CHP 1R 66 1.0
CHP 1R 67 1.0
CHP 1R 68 1.0
CHP 1R 69 1.0
CHP 1R 70 1.0
CHP 1R 71 1.0
CHP 1R 72 1.0
CHP 1R 73 1.0
CHP 1R 74 1.0
CHP 1R 75 1.0
CHP 1R 76 1.0
CHP 1R 77 1.0
CHP 1R 78 1.0
CHP 1R 79 1.0
CHP 1R 80 1.0
CHP 1R 81 1.0
CHP 1R 82 1.0
CHP 1R 83 1.0
CHP 1R 84 1.0
CHP 1R 85 1.0
CHP 1R 86 1.0
CHP 1R 87 1.0
CHP 1R 88 1.0
CHP 1R 89 1.0
CHP 1R 90 1.0
CHP 1R 91 1.0
CHP 1R 92 1.0
CHP 1R 93 1.0
CHP 1R 94 1.0
CHP 1R 95 1.0
CHP 1R 96 1.0
CHP 1R 97 1.0
CHP 1R 98 1.0
CHP 1R 99 1.0
CHP 1R 100 1.0
CHP 1R 101 1.0
CHP 1R 102 1.0
CHP 1R 103 1.0
CHP 1R 104 1.0
CHP 1R 105 1.0
CHP 1R 106 1.0
CHP 1R 107 1.0
CHP 1R 108 1.0
CHP 1R 109 1.0
CHP 1R 110 1.0
CHP 1R 111 1.0
CHP 1R 112 1.0
CHP 1R 113 1.0
CHP 1R 114 1.0
CHP 1R 115 1.0
CHP 1R 116 1.0
CHP 1R 117 1.0
CHP 1R 118 1.0
CHP 1R 119 1.0
CHP 1R 120 1.0
CHP 1R 121 1.0
CHP 1R 122 1.0
CHP 1R 123 1.0
CHP 1R 124 1.0
CHP 1R 125 1.0
CHP 1R 126 1.0
CHP 1R 127 1.0
CHP 1R 128 1.0
CHP 1R 129 1.0
CHP 1R 130 1.0
CHP 1R 131 1.0
CHP 1R 132 1.0
CHP 1R 133 1.0
CHP 1R 134 1.0
CHP 1R 135 1.0
CHP 1R 136 1.0
CHP 1R 137 1.0
CHP 1R 138 1.0
CHP 1R 139 1.0
CHP 1R 140 1.0
CHP 1R 141 1.0
CHP 1R 142 1.0
CHP 1R 143 1.0
CHP 1R 144 1.0
CHP 1R 145 1.0
CHP 1R 146 1.0
CHP 1R 147 1.0
CHP 1R 148 1.0
CHP 1R 149 1.0
CHP 1R 150 1.0
CHP 1R 151 1.0
CHP 1R 152 1.0
CHP 1R 153 1.0
CHP 1R 154 1.0
CHP 1R 155 1.0
CHP 1R 156 1.0
CHP 1R 157 1.0
CHP 1R 158 1.0
CHP 1R 159 1.0
CHP 1R 160 1.0
CHP 1R 161 1.0
CHP 1R 162 1.0
CHP 1R 163 1.0
CHP 1R 164 1.0
CHP 1R 165 1.0
CHP 1R 166 1.0
CHP 1R 167 1.0
CHP 1R 168 1.0
CHP 1R 169 1.0
CHP 1R 170 1.0
CHP 1R 171 1.0
CHP 1R 172 1.0
CHP 1R 173 1.0
CHP 1R 174 1.0
CHP 1R 175 1.0
CHP 1R 176 1.0
CHP 1R 177 1.0
CHP 1R 178 1.0
CHP 1R 179 1.0
CHP 1R 180 1.0
CHP 1R 181 1.0
CHP 1R 182 1.0
CHP 1R 183 1.0
CHP 1R 184 1.0
CHP 1R 185 1.0
CHP 1R 186 1.0
CHP 1R 187 1.0
CHP 1R 188 1.0
CHP 1R 189 1.0
CHP 1R 190 1.0
CHP 1R 191 1.0
CHP 1R 192 1.0
CHP 1R 193 1.0
CHP 1R 194 1.0
CHP 1R 195 1.0
CHP 1R 196 1.0
CHP 1R 197 1.0
CHP 1R 198 1.0
CHP 1R 199 1.0
CHP 1R 200 1.0
CHP 1R 201 1.0
CHP 1R 202 1.0
CHP 1R 203 1.0
CHP 1R 204 1.0
CHP 1R 205 1.0
CHP 1R 206 1.0
CHP 1R 207 1.0
CHP 1R 208 1.0
CHP 1R 209 1.0
CHP 1R 210 1.0
CHP 1R 211 1.0
CHP 1R 212 1.0
CHP 1R 213 1.0
CHP 1R 214 1.0
CHP 1R 215 1.0
CHP 1R 216 1.0
CHP 1R 217 1.0
CHP 1R 218 1.0
CHP 1R 219 1.0
CHP 1R 220 1.0
CHP 1R 221 1.0
CHP 1R 222 1.0
CHP 1R 223 1.0
CHP 1R 224 1.0
CHP 1R 225 1.0
CHP 1R 226 1.0
CHP 1R 227 1.0
CHP 1R 228 1.0
CHP 1R 229 1.0
CHP 1R 230 1.0
