param bd :=
1R 1 170.86906728672872
1R 2 168.389983786091
1R 3 141.1153135093626
1R 4 140.0653426350722
1R 5 145.9377040320314
1R 6 157.70289215703795
1R 7 244.09148024747824
1R 8 290.36981615873503
1R 9 330.53042629865854
1R 10 271.0525131808354
1R 11 219.71040797022968
1R 12 214.63145642072095
1R 13 214.4988042121993
1R 14 192.96808867639763
1R 15 192.97046019119043
1R 16 189.8860567950653
1R 17 217.6491141866835
1R 18 267.0438245659496
1R 19 360.04095867393676
1R 20 379.527908443476
1R 21 405.83987875132203
1R 22 370.42858002577856
1R 23 306.6167450644751
1R 24 211.85867405757227
1R 25 154.0584378829259
1R 26 140.7284016011823
1R 27 127.36509276545371
1R 28 126.45395189478563
1R 29 132.75693108211476
1R 30 168.4471059776989
1R 31 287.64716596469566
1R 32 341.88685136593523
1R 33 276.8905115340021
1R 34 250.1771619556955
1R 35 188.7986745169487
1R 36 188.5502044228608
1R 37 188.98172448618777
1R 38 179.4355732136731
1R 39 177.8264860684551
1R 40 177.85731791445593
1R 41 209.8045679420492
1R 42 270.26966015462193
1R 43 355.56405318780736
1R 44 377.87033465082095
1R 45 412.47696802271025
1R 46 385.8188885512541
1R 47 298.64116358633646
1R 48 209.05493858588395
1R 49 157.101663663251
1R 50 141.2800079634139
1R 51 127.34390256454692
1R 52 126.3723226300442
1R 53 133.4029501994178
1R 54 170.35632461801032
1R 55 292.3772744753744
1R 56 346.6517253449744
1R 57 279.7864094217774
1R 58 248.9521119105363
1R 59 187.29161471399578
1R 60 188.97935087243138
1R 61 186.29131834802655
1R 62 176.0225807803014
1R 63 177.4249030133713
1R 64 176.24125503628736
1R 65 208.50749791687838
1R 66 269.7031757985968
1R 67 355.3411334892349
1R 68 377.18590695868784
1R 69 412.440116275928
1R 70 384.7673213318605
1R 71 296.8018356633304
1R 72 200.13360116626467
1R 73 151.83358269702353
1R 74 137.9029827478447
1R 75 124.91349796126988
1R 76 124.0877804203496
1R 77 130.80272574428196
1R 78 167.6856551664711
1R 79 288.24632878680285
1R 80 341.5661050532058
1R 81 274.97141354775874
1R 82 243.4343379915304
1R 83 179.8254961889254
1R 84 178.25150245796692
1R 85 177.04880775190003
1R 86 167.13781452231365
1R 87 166.87902024833352
1R 88 166.74286881662175
1R 89 200.5044359463623
1R 90 262.3241129847416
1R 91 348.07193038659807
1R 92 370.3225445992571
1R 93 405.1704875544144
1R 94 378.89927182311357
1R 95 292.40476504326256
1R 96 195.555193683668
1R 97 147.90565325663255
1R 98 135.06828296681803
1R 99 122.30226270937771
1R 100 121.68751389834561
1R 101 128.63100807079704
1R 102 166.19470560980767
1R 103 287.6259604255315
1R 104 341.2540565665525
1R 105 274.37515688647585
1R 106 250.80565882317507
1R 107 192.8173817702941
1R 108 187.7310479088152
1R 109 184.29231503865
1R 110 174.69976459038
1R 111 173.45002115911225
1R 112 173.88261302835926
1R 113 207.428732245254
1R 114 266.8522337490984
1R 115 348.8943487260005
1R 116 372.2191459001579
1R 117 408.3624818785533
1R 118 382.5581617947502
1R 119 294.5419289868266
1R 120 195.1289535204932
1R 121 149.18425800434915
1R 122 137.21471930053514
1R 123 124.95291304684073
1R 124 123.55791534609162
1R 125 130.36733121511716
1R 126 168.58238045289826
1R 127 290.8491305136435
1R 128 349.9978134033326
1R 129 279.2633275363693
1R 130 247.65521431375507
1R 131 184.80639029213253
1R 132 199.26894507137197
1R 133 207.54132501492603
1R 134 198.62403459060926
1R 135 200.24639577453328
1R 136 202.75211341251693
1R 137 224.65464988135102
1R 138 276.8770492901421
1R 139 354.65207312343324
1R 140 378.82593587437873
1R 141 414.3683774221368
1R 142 389.99626349050016
1R 143 303.51537988902624
1R 144 205.35212218551865
1R 145 161.07126832608242
1R 146 159.034759668205
1R 147 131.39200802057658
1R 148 130.67504488010252
1R 149 137.38951606491509
1R 150 149.74583098600985
1R 151 250.73449514173424
1R 152 283.8336013881618
1R 153 332.9264377220933
1R 154 281.04862809299743
1R 155 212.18121913396948
1R 156 198.04049211700374
1R 157 197.2190940978937
1R 158 185.26392699145052
1R 159 184.94545573696837
1R 160 184.6707370611532
1R 161 212.92680559234634
1R 162 270.0839128845645
1R 163 370.89087103581136
1R 164 379.16530086346705
1R 165 394.34971679135555
1R 166 386.8867194941861
1R 167 323.22490438207006
1R 168 213.30355412362152
1R 169 173.3379735574342
1R 170 171.17796834032586
1R 171 143.5466642290196
1R 172 142.57675218269725
1R 173 149.41386556382434
1R 174 162.2840899101282
1R 175 250.51604742065615
1R 176 296.3353768500736
1R 177 333.6255311337499
1R 178 268.7044000243678
1R 179 212.7912335323996
1R 180 216.61187240732417
1R 181 209.90397110736123
1R 182 176.6952806808902
1R 183 180.20121645602293
1R 184 182.68902596106344
1R 185 206.37769164591072
1R 186 257.6512415355403
1R 187 352.97789302222304
1R 188 375.271910663285
1R 189 403.3782193545957
1R 190 369.25965681594084
1R 191 306.8175136640786
1R 192 212.51357533788618
1R 193 155.5331070152658
1R 194 141.39944488258203
1R 195 127.8184128378587
1R 196 126.83385950416064
1R 197 133.37358967170618
1R 198 170.53824729705588
1R 199 291.47036675254367
1R 200 345.5330334560541
1R 201 280.87707368532034
1R 202 253.25921215324914
1R 203 189.5145149634982
1R 204 187.56419622537086
1R 205 189.36669412303178
1R 206 179.59295272253172
1R 207 181.4524419122582
1R 208 179.02644580027584
1R 209 206.48408429237367
1R 210 272.2779941281421
1R 211 357.29340845809725
1R 212 379.17695339731375
1R 213 414.28823098875677
1R 214 387.67800141166515
1R 215 300.1657101990477
1R 216 201.62008724501132
1R 217 152.96872626238985
1R 218 139.99932025465756
1R 219 126.75007064469214
1R 220 125.54853531111611
1R 221 132.82200992157843
1R 222 170.48654798030708
1R 223 291.0007196089926
1R 224 345.5016482591689
1R 225 280.29180605499835
1R 226 249.9261736389496
1R 227 189.04354346905228
1R 228 189.71335084579033
1R 229 188.1513567847233
1R 230 178.25830892366287
1R 231 177.69848565378956
1R 232 176.89183673917768
1R 233 205.10016009820023
1R 234 270.93466105728464
1R 235 356.30561466164085
1R 236 377.6804374223712
1R 237 412.31051806005985
1R 238 385.72787327580477
1R 239 299.1253096732825
1R 240 201.22077355707268
1R 241 152.9084290987323
1R 242 139.43322953187325
1R 243 126.16396567819513
1R 244 125.1821917469893
1R 245 132.49816559269118
1R 246 169.97108212958517
1R 247 291.4376984623853
1R 248 344.64105602455567
1R 249 277.9810942930528
1R 250 246.23781418571502
1R 251 184.07622623814194
1R 252 191.71768512384634
1R 253 195.66690223928202
1R 254 187.5744177142815
1R 255 185.55505729744652
1R 256 183.38437276755087
1R 257 209.3226833871622
1R 258 273.2040806290619
1R 259 358.76874924509633
1R 260 380.27264211751776
1R 261 415.4891022447755
1R 262 388.5240237119675
1R 263 300.32883744123933
1R 264 202.00761000521715
1R 265 153.5072009817578
1R 266 140.12092338477896
1R 267 126.59062118148243
1R 268 125.77603371145842
1R 269 132.5902074016828
1R 270 169.05665583473035
1R 271 289.96410943273077
1R 272 344.86955389701563
1R 273 281.25877993146753
1R 274 254.4868015912248
1R 275 195.4785046550883
1R 276 197.77612924236087
1R 277 202.01085910813143
1R 278 199.4067268767317
1R 279 197.8945189102386
1R 280 189.0032992516034
1R 281 213.1016838221567
1R 282 270.74164990129293
1R 283 357.96376165606574
1R 284 394.1122229411245
1R 285 423.43928582677904
1R 286 393.13592866228305
1R 287 305.3131109863557
1R 288 206.03986686838797
1R 289 156.58836585364793
1R 290 143.15861639159328
1R 291 129.8486698718926
