param bd :=
1R 1 1445.5779005203092
1R 2 1421.8082661092637
1R 3 1452.2919413643083
1R 4 1421.9538839843583
1R 5 1513.5973311482414
1R 6 1605.4001418551568
1R 7 1880.3674504513408
1R 8 1972.0976194606021
1R 9 1745.7918184537355
1R 10 1480.3613960279474
1R 11 1265.8061828126647
1R 12 1235.3082337036735
1R 13 1264.3772748213312
1R 14 1234.3238343668363
1R 15 1263.8403413262986
1R 16 1234.4845766923654
1R 17 1612.3686451620915
1R 18 1971.64906695495
1R 19 2002.173294462985
1R 20 1849.6537902993607
1R 21 1880.2349811691768
1R 22 1727.7444247144706
1R 23 1636.475672171054
1R 24 1483.5727455461415
1R 25 1701.8118681495616
1R 26 1671.0294784452583
1R 27 1701.2513869294273
1R 28 1670.9328287109613
1R 29 1762.392703622306
1R 30 2041.123977640718
1R 31 2377.4476170025605
1R 32 3236.912386740045
1R 33 6459.864803486475
1R 34 6222.306160383075
1R 35 5976.114462719636
1R 36 5974.750540478263
1R 37 5725.025759356304
1R 38 5972.783768001399
1R 39 5972.53689292433
1R 40 5972.825343717211
1R 41 6320.302229650936
1R 42 5712.789589131705
1R 43 4467.525562160492
1R 44 4345.2243063714095
1R 45 3349.465615068714
1R 46 3228.0832018000906
1R 47 1989.4854622008165
1R 48 1733.2117242962042
1R 49 1692.5004091534174
1R 50 1675.3439821578424
1R 51 1694.3267632912577
1R 52 1676.9593848398642
1R 53 1756.7135630369116
1R 54 2048.090992863039
1R 55 2364.478707936864
1R 56 3237.9982856975366
1R 57 6462.761409177096
1R 58 6225.615101623812
1R 59 5979.376973057434
1R 60 5977.906487930548
1R 61 5727.64043453128
1R 62 5975.060289620814
1R 63 5974.099721456197
1R 64 5973.691132673993
1R 65 6320.52403079537
1R 66 5712.48825797806
1R 67 4467.073067814991
1R 68 4344.9741914013
1R 69 3349.1959133033265
1R 70 3227.530161873479
1R 71 1952.9020722461175
1R 72 1750.3710787215373
1R 73 1670.188616098128
1R 74 1695.074412919138
1R 75 1671.4873238880286
1R 76 1696.1515863470154
1R 77 1733.7724670460036
1R 78 2067.1511604325196
1R 79 2359.659886123752
1R 80 3234.081098001458
1R 81 6462.080013026642
1R 82 6226.043605122652
1R 83 5980.816293949135
1R 84 5980.055622982822
1R 85 5730.65124807237
1R 86 5979.016131185863
1R 87 5980.852245536
1R 88 5987.088165999355
1R 89 6345.976680004833
1R 90 5742.779064975845
1R 91 4497.959866914481
1R 92 4376.255345514994
1R 93 3380.6223907572025
1R 94 3258.6892268282472
1R 95 2040.059925998763
1R 96 1758.1361916238789
1R 97 1675.7991269903816
1R 98 1699.514958532193
1R 99 1679.0491614287725
1R 100 1701.8018929108998
1R 101 1742.5622315704215
1R 102 2073.717406099653
1R 103 2372.499265658481
1R 104 3266.89336856555
1R 105 6490.4123657943455
1R 106 6251.66196063362
1R 107 6005.211936819236
1R 108 6004.42425155633
1R 109 5754.919865283929
1R 110 6002.064471079157
1R 111 5998.279794408056
1R 112 5999.916878562951
1R 113 6349.311488642839
1R 114 5742.730018836288
1R 115 4497.969952664893
1R 116 4376.277094280031
1R 117 3380.7859295960784
1R 118 3258.9457499970254
1R 119 2040.4064668281808
1R 120 1758.4979575313155
1R 121 1676.1831279679789
1R 122 1699.6435990916193
1R 123 1679.3078778166396
1R 124 1701.952599924375
1R 125 1742.9905810347695
1R 126 2073.6231373625706
1R 127 2371.384699551681
1R 128 3264.8180643243136
1R 129 6489.609956997507
1R 130 6252.253255790889
1R 131 6006.31275282178
1R 132 6005.25805883076
1R 133 5755.580222210124
1R 134 6001.63267347895
1R 135 5996.679714069879
1R 136 5995.746741965864
1R 137 6342.08563798144
1R 138 5734.258163572572
1R 139 4489.896021280327
1R 140 4368.440338223834
1R 141 3378.5419114216684
1R 142 3258.3423680636893
1R 143 2040.3976347098678
1R 144 1758.7585505058119
1R 145 1427.8830757445248
1R 146 1451.1498144233153
1R 147 1431.2523483110062
1R 148 1453.7895243154373
1R 149 1495.1066272567696
1R 150 1638.9954155714713
1R 151 2374.3616090108494
1R 152 2521.135518889026
1R 153 4001.6412791629714
1R 154 3762.7733186224928
1R 155 3516.107357467866
1R 156 3514.5901535576068
1R 157 3513.7218123371126
1R 158 3511.9958334593807
1R 159 1829.7679118833198
1R 160 1831.5553206068394
1R 161 2128.1866052369714
1R 162 2071.232096795121
1R 163 1965.4483563278513
1R 164 1875.8224626389576
1R 165 1854.9030609218548
1R 166 1756.4119922650525
1R 167 1613.9924808318565
1R 168 1514.0298641927616
1R 169 1432.5892308294979
1R 170 1454.4436526808354
1R 171 1434.3253633441154
1R 172 1455.8524939981253
1R 173 1496.5117339384879
1R 174 1640.367743147136
1R 175 1864.1689718243815
1R 176 2008.091005694885
1R 177 1728.8797718055846
1R 178 1512.7131312996612
1R 179 1245.0050570618655
1R 180 1266.0032289561213
1R 181 1243.208523164894
1R 182 1264.6158840530004
1R 183 1241.9110676053592
1R 184 1264.2961012432563
1R 185 1538.5484923820868
1R 186 2001.5526337064248
1R 187 1980.8342534521216
1R 188 1880.8329749568827
1R 189 1859.407847481667
1R 190 1758.4056341227838
1R 191 1614.0944234329945
1R 192 1513.5414317254324
1R 193 1680.1367907424788
1R 194 1702.1258223244936
1R 195 1680.5387945006114
1R 196 1701.8610738434952
1R 197 1740.8314228087847
1R 198 2071.580446327695
1R 199 2379.601390495699
1R 200 3267.336068552909
1R 201 6484.590730730019
1R 202 6238.052839449601
1R 203 5986.781451382528
1R 204 5981.012909652661
1R 205 5727.307082194642
1R 206 5972.52382235417
1R 207 5970.97762851493
1R 208 5970.648234796909
1R 209 6266.268149715562
1R 210 5709.249450606487
1R 211 4463.2891521615675
1R 212 4340.49752922617
1R 213 3344.0019280937845
1R 214 3221.7041217672536
1R 215 1923.0532631808262
1R 216 1613.9283188803793
1R 217 1552.8172864018231
1R 218 1561.3645886861434
1R 219 1563.4971915733672
1R 220 1561.3846968148496
1R 221 1624.6317023447427
1R 222 1931.6547889261647
1R 223 2351.69327854933
1R 224 3218.3176626187496
1R 225 6447.727112773341
1R 226 6212.416263457336
1R 227 5967.610790169475
1R 228 5968.804432709466
1R 229 5727.402131813784
1R 230 5985.232408964733
1R 231 5984.399567535014
1R 232 5976.1076738620495
1R 233 6263.398984214088
1R 234 5707.129150122008
1R 235 4462.21792463078
1R 236 4340.968204642372
1R 237 3345.1857881318297
1R 238 3223.5033577962517
1R 239 1926.3810739140074
1R 240 1622.8062964264043
1R 241 1673.7000332597065
1R 242 1657.4025627505373
1R 243 1690.9069638454437
1R 244 1667.9635176474112
1R 245 1759.2732571729905
1R 246 2039.592844306497
1R 247 2359.2739612037785
1R 248 3233.2831041817103
1R 249 6459.9737297169795
1R 250 6221.797690086775
1R 251 5974.914425247909
1R 252 5971.807194903243
1R 253 5722.173921519577
1R 254 5981.0722638387915
1R 255 5980.304990322249
1R 256 5970.481672838271
1R 257 6264.1275466217485
1R 258 5707.6826231149225
1R 259 4461.874947194448
1R 260 4339.488375632745
1R 261 3343.446010113217
1R 262 3222.4776308322444
1R 263 1928.5877572076975
1R 264 1670.7617052566684
1R 265 1660.04799466476
1R 266 1691.3696329318577
1R 267 1673.3137958944621
1R 268 1693.237764568953
1R 269 1735.4875665285977
1R 270 2064.8648666515637
1R 271 2357.890639026774
1R 272 3237.3712210285466
1R 273 6462.2872766743585
1R 274 6222.341294042524
1R 275 5974.524676590803
1R 276 5971.571770840015
1R 277 5720.748196112335
1R 278 5968.59249760063
1R 279 5968.1743908747285
1R 280 5968.339340240689
1R 281 6264.548922295872
1R 282 5708.533242234553
1R 283 4463.671107996455
1R 284 4342.414633098202
1R 285 3346.578142100489
1R 286 3224.7211770400236
1R 287 1928.2390800419153
1R 288 1663.5385660891875
1R 289 1657.5281013359959
1R 290 1684.4987783112324
1R 291 1660.705009941743
1R 292 1697.2550075369263
1R 293 1729.6950053591293
1R 294 2068.174442892126
1R 295 2355.497405795526
