param be :=
CHP 1W 1 -0.09583407000000001
CHP 1W 2 -0.09583407000000001
CHP 1W 3 -0.09583407000000001
CHP 1W 4 -0.09583407000000001
CHP 1W 5 -0.09583407000000001
CHP 1W 6 -0.09583407000000001
CHP 1W 7 -0.09583407000000001
CHP 1W 8 -0.09583407000000001
CHP 1W 9 -0.11241747
CHP 1W 10 -0.11241747
CHP 1W 11 -0.11241747
CHP 1W 12 -0.11241747
CHP 1W 13 -0.11241747
CHP 1W 14 -0.11241747
CHP 1W 15 -0.11241747
CHP 1W 16 -0.11241747
CHP 1W 17 -0.11241747
CHP 1W 18 -0.11241747
CHP 1W 19 -0.11241747
CHP 1W 20 -0.11241747
CHP 1W 21 -0.11241747
CHP 1W 22 -0.09583407000000001
CHP 1W 23 -0.09583407000000001
CHP 1W 24 -0.09583407000000001
CHP 1W 25 -0.09583407000000001
CHP 1W 26 -0.09583407000000001
CHP 1W 27 -0.09583407000000001
CHP 1W 28 -0.09583407000000001
CHP 1W 29 -0.09583407000000001
CHP 1W 30 -0.09583407000000001
CHP 1W 31 -0.09583407000000001
CHP 1W 32 -0.09583407000000001
CHP 1W 33 -0.11241747
CHP 1W 34 -0.11241747
CHP 1W 35 -0.11241747
CHP 1W 36 -0.11241747
CHP 1W 37 -0.11241747
CHP 1W 38 -0.11241747
CHP 1W 39 -0.11241747
CHP 1W 40 -0.11241747
CHP 1W 41 -0.11241747
CHP 1W 42 -0.11241747
CHP 1W 43 -0.11241747
CHP 1W 44 -0.11241747
CHP 1W 45 -0.11241747
CHP 1W 46 -0.09583407000000001
CHP 1W 47 -0.09583407000000001
CHP 1W 48 -0.09583407000000001
CHP 1W 49 -0.09583407000000001
CHP 1W 50 -0.09583407000000001
CHP 1W 51 -0.09583407000000001
CHP 1W 52 -0.09583407000000001
CHP 1W 53 -0.09583407000000001
CHP 1W 54 -0.09583407000000001
CHP 1W 55 -0.09583407000000001
CHP 1W 56 -0.09583407000000001
CHP 1W 57 -0.11241747
CHP 1W 58 -0.11241747
CHP 1W 59 -0.11241747
CHP 1W 60 -0.11241747
CHP 1W 61 -0.11241747
CHP 1W 62 -0.11241747
CHP 1W 63 -0.11241747
CHP 1W 64 -0.11241747
CHP 1W 65 -0.11241747
CHP 1W 66 -0.11241747
CHP 1W 67 -0.11241747
CHP 1W 68 -0.11241747
CHP 1W 69 -0.11241747
CHP 1W 70 -0.09583407000000001
CHP 1W 71 -0.09583407000000001
CHP 1W 72 -0.09583407000000001
CHP 1W 73 -0.09583407000000001
CHP 1W 74 -0.09583407000000001
CHP 1W 75 -0.09583407000000001
CHP 1W 76 -0.09583407000000001
CHP 1W 77 -0.09583407000000001
CHP 1W 78 -0.09583407000000001
CHP 1W 79 -0.09583407000000001
CHP 1W 80 -0.09583407000000001
CHP 1W 81 -0.11241747
CHP 1W 82 -0.11241747
CHP 1W 83 -0.11241747
CHP 1W 84 -0.11241747
CHP 1W 85 -0.11241747
