param cU :=
CHP 1 1 11.0
CHP 1 2 11.0
CHP 1 3 11.0
CHP 1 4 11.0
CHP 1 5 11.0
CHP 1 6 11.0
CHP 1 7 11.0
CHP 1 8 11.0
CHP 1 9 11.0
CHP 1 10 11.0
CHP 1 11 11.0
CHP 1 12 11.0
CHP 1 13 11.0
CHP 1 14 11.0
CHP 1 15 11.0
CHP 1 16 11.0
CHP 1 17 11.0
CHP 1 18 11.0
CHP 1 19 11.0
CHP 1 20 11.0
CHP 1 21 11.0
CHP 1 22 11.0
CHP 1 23 11.0
CHP 1 24 11.0
CHP 1 25 11.0
CHP 1 26 11.0
CHP 1 27 11.0
CHP 1 28 11.0
CHP 1 29 11.0
CHP 1 30 11.0
CHP 1 31 11.0
CHP 1 32 11.0
CHP 1 33 11.0
CHP 1 34 11.0
CHP 1 35 11.0
CHP 1 36 11.0
CHP 1 37 11.0
CHP 1 38 11.0
CHP 1 39 11.0
CHP 1 40 11.0
CHP 1 41 11.0
CHP 1 42 11.0
CHP 1 43 11.0
CHP 1 44 11.0
CHP 1 45 11.0
CHP 1 46 11.0
CHP 1 47 11.0
CHP 1 48 11.0
CHP 1 49 11.0
CHP 1 50 11.0
CHP 1 51 11.0
CHP 1 52 11.0
CHP 1 53 11.0
CHP 1 54 11.0
CHP 1 55 11.0
CHP 1 56 11.0
CHP 1 57 11.0
CHP 1 58 11.0
CHP 1 59 11.0
CHP 1 60 11.0
CHP 1 61 11.0
CHP 1 62 11.0
CHP 1 63 11.0
CHP 1 64 11.0
CHP 1 65 11.0
CHP 1 66 11.0
CHP 1 67 11.0
CHP 1 68 11.0
CHP 1 69 11.0
CHP 1 70 11.0
CHP 1 71 11.0
CHP 1 72 11.0
CHP 1 73 11.0
CHP 1 74 11.0
CHP 1 75 11.0
CHP 1 76 11.0
CHP 1 77 11.0
CHP 1 78 11.0
CHP 1 79 11.0
CHP 1 80 11.0
CHP 1 81 11.0
CHP 1 82 11.0
CHP 1 83 11.0
CHP 1 84 11.0
CHP 1 85 11.0
CHP 1 86 11.0
CHP 1 87 11.0
CHP 1 88 11.0
CHP 1 89 11.0
CHP 1 90 11.0
CHP 1 91 11.0
CHP 1 92 11.0
CHP 1 93 11.0
CHP 1 94 11.0
CHP 1 95 11.0
CHP 1 96 11.0
CHP 1 97 11.0
CHP 1 98 11.0
CHP 1 99 11.0
CHP 1 100 11.0
CHP 1 101 11.0
CHP 1 102 11.0
CHP 1 103 11.0
CHP 1 104 11.0
CHP 1 105 11.0
CHP 1 106 11.0
CHP 1 107 11.0
CHP 1 108 11.0
CHP 1 109 11.0
CHP 1 110 11.0
CHP 1 111 11.0
CHP 1 112 11.0
CHP 1 113 11.0
CHP 1 114 11.0
CHP 1 115 11.0
CHP 1 116 11.0
CHP 1 117 11.0
CHP 1 118 11.0
CHP 1 119 11.0
CHP 1 120 11.0
CHP 1 121 11.0
CHP 1 122 11.0
CHP 1 123 11.0
CHP 1 124 11.0
CHP 1 125 11.0
CHP 1 126 11.0
CHP 1 127 11.0
CHP 1 128 11.0
CHP 1 129 11.0
CHP 1 130 11.0
CHP 1 131 11.0
CHP 1 132 11.0
CHP 1 133 11.0
CHP 1 134 11.0
CHP 1 135 11.0
CHP 1 136 11.0
CHP 1 137 11.0
CHP 1 138 11.0
CHP 1 139 11.0
CHP 1 140 11.0
CHP 1 141 11.0
CHP 1 142 11.0
CHP 1 143 11.0
CHP 1 144 11.0
CHP 1 145 11.0
CHP 1 146 11.0
CHP 1 147 11.0
CHP 1 148 11.0
CHP 1 149 11.0
CHP 1 150 11.0
CHP 1 151 11.0
CHP 1 152 11.0
CHP 1 153 11.0
CHP 1 154 11.0
CHP 1 155 11.0
CHP 1 156 11.0
CHP 1 157 11.0
CHP 1 158 11.0
CHP 1 159 11.0
CHP 1 160 11.0
CHP 1 161 11.0
CHP 1 162 11.0
CHP 1 163 11.0
CHP 1 164 11.0
CHP 1 165 11.0
CHP 1 166 11.0
CHP 1 167 11.0
CHP 1 168 11.0
CHP 1 169 11.0
CHP 1 170 11.0
CHP 1 171 11.0
CHP 1 172 11.0
CHP 1 173 11.0
CHP 1 174 11.0
CHP 1 175 11.0
CHP 1 176 11.0
CHP 1 177 11.0
CHP 1 178 11.0
CHP 1 179 11.0
CHP 1 180 11.0
CHP 1 181 11.0
CHP 1 182 11.0
CHP 1 183 11.0
CHP 1 184 11.0
CHP 1 185 11.0
CHP 1 186 11.0
CHP 1 187 11.0
CHP 1 188 11.0
CHP 1 189 11.0
CHP 1 190 11.0
CHP 1 191 11.0
CHP 1 192 11.0
CHP 1 193 11.0
CHP 1 194 11.0
CHP 1 195 11.0
CHP 1 196 11.0
CHP 1 197 11.0
CHP 1 198 11.0
CHP 1 199 11.0
CHP 1 200 11.0
CHP 1 201 11.0
CHP 1 202 11.0
CHP 1 203 11.0
CHP 1 204 11.0
CHP 1 205 11.0
CHP 1 206 11.0
CHP 1 207 11.0
CHP 1 208 11.0
CHP 1 209 11.0
CHP 1 210 11.0
CHP 1 211 11.0
CHP 1 212 11.0
CHP 1 213 11.0
CHP 1 214 11.0
CHP 1 215 11.0
CHP 1 216 11.0
CHP 1 217 11.0
CHP 1 218 11.0
CHP 1 219 11.0
CHP 1 220 11.0
CHP 1 221 11.0
CHP 1 222 11.0
CHP 1 223 11.0
CHP 1 224 11.0
CHP 1 225 11.0
CHP 1 226 11.0
CHP 1 227 11.0
CHP 1 228 11.0
CHP 1 229 11.0
CHP 1 230 11.0
CHP 1 231 11.0
CHP 1 232 11.0
CHP 1 233 11.0
CHP 1 234 11.0
CHP 1 235 11.0
CHP 1 236 11.0
CHP 1 237 11.0
CHP 1 238 11.0
CHP 1 239 11.0
CHP 1 240 11.0
CHP 1 241 11.0
CHP 1 242 11.0
CHP 1 243 11.0
CHP 1 244 11.0
CHP 1 245 11.0
CHP 1 246 11.0
CHP 1 247 11.0
CHP 1 248 11.0
CHP 1 249 11.0
CHP 1 250 11.0
CHP 1 251 11.0
CHP 1 252 11.0
CHP 1 253 11.0
CHP 1 254 11.0
CHP 1 255 11.0
CHP 1 256 11.0
CHP 1 257 11.0
CHP 1 258 11.0
CHP 1 259 11.0
CHP 1 260 11.0
CHP 1 261 11.0
CHP 1 262 11.0
CHP 1 263 11.0
CHP 1 264 11.0
CHP 1 265 11.0
CHP 1 266 11.0
CHP 1 267 11.0
CHP 1 268 11.0
CHP 1 269 11.0
CHP 1 270 11.0
CHP 1 271 11.0
CHP 1 272 11.0
CHP 1 273 11.0
CHP 1 274 11.0
CHP 1 275 11.0
CHP 1 276 11.0
CHP 1 277 11.0
CHP 1 278 11.0
CHP 1 279 11.0
CHP 1 280 11.0
CHP 1 281 11.0
CHP 1 282 11.0
CHP 1 283 11.0
CHP 1 284 11.0
CHP 1 285 11.0
CHP 1 286 11.0
CHP 1 287 11.0
CHP 1 288 11.0
CHP 1 289 11.0
CHP 1 290 11.0
CHP 1 291 11.0
CHP 1 292 11.0
CHP 1 293 11.0
CHP 1 294 11.0
CHP 1 295 11.0
CHP 1 296 11.0
CHP 1 297 11.0
CHP 1 298 11.0
CHP 1 299 11.0
CHP 1 300 11.0
CHP 1 301 11.0
CHP 1 302 11.0
CHP 1 303 11.0
CHP 1 304 11.0
CHP 1 305 11.0
CHP 1 306 11.0
CHP 1 307 11.0
CHP 1 308 11.0
CHP 1 309 11.0
CHP 1 310 11.0
CHP 1 311 11.0
CHP 1 312 11.0
CHP 1 313 11.0
CHP 1 314 11.0
CHP 1 315 11.0
CHP 1 316 11.0
CHP 1 317 11.0
CHP 1 318 11.0
CHP 1 319 11.0
CHP 1 320 11.0
CHP 1 321 11.0
CHP 1 322 11.0
CHP 1 323 11.0
CHP 1 324 11.0
CHP 1 325 11.0
CHP 1 326 11.0
CHP 1 327 11.0
CHP 1 328 11.0
CHP 1 329 11.0
CHP 1 330 11.0
CHP 1 331 11.0
CHP 1 332 11.0
CHP 1 333 11.0
CHP 1 334 11.0
CHP 1 335 11.0
CHP 1 336 11.0
CHP 1 337 11.0
CHP 1 338 11.0
CHP 1 339 11.0
CHP 1 340 11.0
CHP 1 341 11.0
CHP 1 342 11.0
CHP 1 343 11.0
CHP 1 344 11.0
CHP 1 345 11.0
CHP 1 346 11.0
CHP 1 347 11.0
CHP 1 348 11.0
CHP 1 349 11.0
CHP 1 350 11.0
CHP 1 351 11.0
CHP 1 352 11.0
CHP 1 353 11.0
CHP 1 354 11.0
CHP 1 355 11.0
CHP 1 356 11.0
CHP 1 357 11.0
CHP 1 358 11.0
CHP 1 359 11.0
CHP 1 360 11.0
CHP 1 361 11.0
CHP 1 362 11.0
CHP 1 363 11.0
CHP 1 364 11.0
CHP 1 365 11.0
CHP 1 366 11.0
CHP 1 367 11.0
CHP 1 368 11.0
CHP 1 369 11.0
CHP 1 370 11.0
CHP 1 371 11.0
CHP 1 372 11.0
CHP 1 373 11.0
CHP 1 374 11.0
CHP 1 375 11.0
CHP 1 376 11.0
CHP 1 377 11.0
CHP 1 378 11.0
CHP 1 379 11.0
CHP 1 380 11.0
CHP 1 381 11.0
CHP 1 382 11.0
CHP 1 383 11.0
CHP 1 384 11.0
CHP 1 385 11.0
CHP 1 386 11.0
CHP 1 387 11.0
CHP 1 388 11.0
CHP 1 389 11.0
CHP 1 390 11.0
CHP 1 391 11.0
CHP 1 392 11.0
CHP 1 393 11.0
CHP 1 394 11.0
CHP 1 395 11.0
CHP 1 396 11.0
CHP 1 397 11.0
CHP 1 398 11.0
CHP 1 399 11.0
CHP 1 400 11.0
CHP 1 401 11.0
CHP 1 402 11.0
CHP 1 403 11.0
CHP 1 404 11.0
CHP 1 405 11.0
CHP 1 406 11.0
CHP 1 407 11.0
CHP 1 408 11.0
CHP 1 409 11.0
CHP 1 410 11.0
CHP 1 411 11.0
CHP 1 412 11.0
CHP 1 413 11.0
CHP 1 414 11.0
CHP 1 415 11.0
CHP 1 416 11.0
CHP 1 417 11.0
CHP 1 418 11.0
CHP 1 419 11.0
CHP 1 420 11.0
CHP 1 421 11.0
CHP 1 422 11.0
CHP 1 423 11.0
CHP 1 424 11.0
CHP 1 425 11.0
CHP 1 426 11.0
CHP 1 427 11.0
CHP 1 428 11.0
CHP 1 429 11.0
CHP 1 430 11.0
CHP 1 431 11.0
CHP 1 432 11.0
CHP 1 433 11.0
CHP 1 434 11.0
CHP 1 435 11.0
CHP 1 436 11.0
CHP 1 437 11.0
CHP 1 438 11.0
CHP 1 439 11.0
CHP 1 440 11.0
CHP 1 441 11.0
CHP 1 442 11.0
CHP 1 443 11.0
CHP 1 444 11.0
CHP 1 445 11.0
CHP 1 446 11.0
CHP 1 447 11.0
CHP 1 448 11.0
CHP 1 449 11.0
CHP 1 450 11.0
CHP 1 451 11.0
CHP 1 452 11.0
CHP 1 453 11.0
CHP 1 454 11.0
CHP 1 455 11.0
CHP 1 456 11.0
CHP 1 457 11.0
CHP 1 458 11.0
CHP 1 459 11.0
CHP 1 460 11.0
CHP 1 461 11.0
CHP 1 462 11.0
CHP 1 463 11.0
CHP 1 464 11.0
CHP 1 465 11.0
CHP 1 466 11.0
CHP 1 467 11.0
CHP 1 468 11.0
CHP 1 469 11.0
CHP 1 470 11.0
CHP 1 471 11.0
CHP 1 472 11.0
CHP 1 473 11.0
CHP 1 474 11.0
CHP 1 475 11.0
CHP 1 476 11.0
CHP 1 477 11.0
CHP 1 478 11.0
CHP 1 479 11.0
CHP 1 480 11.0
CHP 1 481 11.0
CHP 1 482 11.0
CHP 1 483 11.0
CHP 1 484 11.0
CHP 1 485 11.0
CHP 1 486 11.0
CHP 1 487 11.0
CHP 1 488 11.0
CHP 1 489 11.0
CHP 1 490 11.0
CHP 1 491 11.0
CHP 1 492 11.0
CHP 1 493 11.0
CHP 1 494 11.0
CHP 1 495 11.0
CHP 1 496 11.0
CHP 1 497 11.0
CHP 1 498 11.0
CHP 1 499 11.0
CHP 1 500 11.0
CHP 1 501 11.0
CHP 1 502 11.0
CHP 1 503 11.0
CHP 1 504 11.0
CHP 1 505 11.0
CHP 1 506 11.0
CHP 1 507 11.0
CHP 1 508 11.0
CHP 1 509 11.0
CHP 1 510 11.0
CHP 1 511 11.0
CHP 1 512 11.0
CHP 1 513 11.0
CHP 1 514 11.0
CHP 1 515 11.0
CHP 1 516 11.0
CHP 1 517 11.0
CHP 1 518 11.0
CHP 1 519 11.0
CHP 1 520 11.0
CHP 1 521 11.0
CHP 1 522 11.0
CHP 1 523 11.0
CHP 1 524 11.0
CHP 1 525 11.0
CHP 1 526 11.0
CHP 1 527 11.0
CHP 1 528 11.0
CHP 1 529 11.0
CHP 1 530 11.0
CHP 1 531 11.0
CHP 1 532 11.0
CHP 1 533 11.0
CHP 1 534 11.0
CHP 1 535 11.0
CHP 1 536 11.0
CHP 1 537 11.0
CHP 1 538 11.0
CHP 1 539 11.0
CHP 1 540 11.0
CHP 1 541 11.0
CHP 1 542 11.0
CHP 1 543 11.0
CHP 1 544 11.0
CHP 1 545 11.0
CHP 1 546 11.0
CHP 1 547 11.0
CHP 1 548 11.0
CHP 1 549 11.0
CHP 1 550 11.0
CHP 1 551 11.0
CHP 1 552 11.0
CHP 1 553 11.0
CHP 1 554 11.0
CHP 1 555 11.0
CHP 1 556 11.0
CHP 1 557 11.0
CHP 1 558 11.0
CHP 1 559 11.0
CHP 1 560 11.0
CHP 1 561 11.0
CHP 1 562 11.0
CHP 1 563 11.0
CHP 1 564 11.0
CHP 1 565 11.0
CHP 1 566 11.0
CHP 1 567 11.0
CHP 1 568 11.0
CHP 1 569 11.0
CHP 1 570 11.0
CHP 1 571 11.0
CHP 1 572 11.0
CHP 1 573 11.0
CHP 1 574 11.0
CHP 1 575 11.0
CHP 1 576 11.0
CHP 1 577 11.0
CHP 1 578 11.0
CHP 1 579 11.0
CHP 1 580 11.0
CHP 1 581 11.0
CHP 1 582 11.0
CHP 1 583 11.0
CHP 1 584 11.0
CHP 1 585 11.0
CHP 1 586 11.0
CHP 1 587 11.0
CHP 1 588 11.0
CHP 1 589 11.0
CHP 1 590 11.0
CHP 1 591 11.0
CHP 1 592 11.0
CHP 1 593 11.0
CHP 1 594 11.0
CHP 1 595 11.0
CHP 1 596 11.0
CHP 1 597 11.0
CHP 1 598 11.0
CHP 1 599 11.0
CHP 1 600 11.0
CHP 1 601 11.0
CHP 1 602 11.0
CHP 1 603 11.0
CHP 1 604 11.0
CHP 1 605 11.0
CHP 1 606 11.0
CHP 1 607 11.0
CHP 1 608 11.0
CHP 1 609 11.0
CHP 1 610 11.0
CHP 1 611 11.0
CHP 1 612 11.0
CHP 1 613 11.0
CHP 1 614 11.0
CHP 1 615 11.0
CHP 1 616 11.0
CHP 1 617 11.0
CHP 1 618 11.0
CHP 1 619 11.0
CHP 1 620 11.0
CHP 1 621 11.0
CHP 1 622 11.0
CHP 1 623 11.0
CHP 1 624 11.0
CHP 1 625 11.0
CHP 1 626 11.0
CHP 1 627 11.0
CHP 1 628 11.0
CHP 1 629 11.0
CHP 1 630 11.0
CHP 1 631 11.0
CHP 1 632 11.0
CHP 1 633 11.0
CHP 1 634 11.0
CHP 1 635 11.0
CHP 1 636 11.0
CHP 1 637 11.0
CHP 1 638 11.0
CHP 1 639 11.0
CHP 1 640 11.0
