param bd :=
1R 1 598.6699922
1R 2 604.8312752999999
1R 3 612.3735847
1R 4 614.4395417000001
1R 5 635.9385158
1R 6 627.1388458
1R 7 720.3157411000001
1R 8 712.6335456
1R 9 790.5759236
1R 10 787.2352678
1R 11 786.3591356000001
1R 12 785.4945006
1R 13 786.5702689
1R 14 793.6965292
1R 15 819.8522688999999
1R 16 832.7279122
1R 17 805.1349357999999
1R 18 754.8020692000001
1R 19 698.3167497000001
1R 20 686.8154367000001
1R 21 656.6778236
1R 22 654.3571431
1R 23 618.0390636
1R 24 614.96009
1R 25 614.9583119
1R 26 612.9008938999999
1R 27 608.5513133
1R 28 609.0512322000001
1R 29 740.6264642000001
1R 30 740.7721188999999
1R 31 1023.5097099999999
1R 32 1163.630761
1R 33 1209.065253
1R 34 1251.671594
1R 35 1253.619846
1R 36 1250.4937029999999
1R 37 1203.8225289999998
1R 38 1246.016253
1R 39 1256.22996
1R 40 1259.043139
1R 41 1265.650324
1R 42 1280.17347
1R 43 949.4238167000001
1R 44 923.9500697000001
1R 45 745.6696294
1R 46 705.3147347
1R 47 598.2898349999999
1R 48 601.7297919
1R 49 593.035375
1R 50 590.7683086000001
1R 51 592.1299044
1R 52 591.4031127999999
1R 53 728.5179052999999
1R 54 731.7027908
1R 55 1012.9430060000001
1R 56 1146.0097230000001
1R 57 1179.1964970000001
1R 58 1208.065173
1R 59 1214.802875
1R 60 1218.953687
1R 61 1178.289027
1R 62 1212.021346
1R 63 1212.9534859999999
1R 64 1213.361354
1R 65 1224.617424
1R 66 1239.9879210000001
1R 67 911.2235167000001
1R 68 903.3110694000001
1R 69 735.9354925
1R 70 697.1648247
1R 71 585.1273736
1R 72 586.2327594
1R 73 573.7693082999999
1R 74 573.6587294
1R 75 574.1004994
1R 76 574.3584781000001
1R 77 709.9424544
1R 78 711.1663297
1R 79 996.36109
1R 80 1139.4210039999998
1R 81 1177.208077
1R 82 1212.629433
1R 83 1221.982714
1R 84 1224.461632
1R 85 1183.097411
1R 86 1216.938183
1R 87 1217.481492
1R 88 1217.785755
1R 89 1230.1029429999999
1R 90 1246.223199
1R 91 915.6383942
1R 92 908.7566044
1R 93 742.2059592
1R 94 704.1455831000001
1R 95 591.9331261
1R 96 592.9476839
1R 97 580.5723542000001
1R 98 580.5540217
1R 99 580.5455244
1R 100 580.5247111000001
1R 101 715.9188897000001
1R 102 717.956355
1R 103 1003.0927310000001
1R 104 1144.389483
1R 105 1180.9185320000001
1R 106 1218.8569949999999
1R 107 1236.387236
1R 108 1245.5880339999999
1R 109 1207.615831
1R 110 1244.2858609999998
1R 111 1247.509184
1R 112 1248.637201
1R 113 1259.300923
1R 114 1271.139359
1R 115 936.2415883
1R 116 926.9423831
1R 117 758.7996525000001
1R 118 719.1631661
1R 119 603.479925
1R 120 595.4289994
1R 121 576.3200703
1R 122 575.0720775000001
1R 123 574.7262258
1R 124 574.6817288999999
1R 125 712.6312518999999
1R 126 714.7827217
1R 127 1000.582715
1R 128 1149.334457
1R 129 1182.123554
1R 130 1215.5953
1R 131 1224.099828
1R 132 1228.318655
1R 133 1194.439378
1R 134 1239.711082
1R 135 1248.116418
1R 136 1252.95436
