param bd :=
1R 1 285.6415509814798
1R 2 281.38863749166796
1R 3 286.6418442174287
1R 4 281.44049328514484
1R 5 298.92022573101735
1R 6 318.1692475358373
1R 7 372.32201270675154
1R 8 350.430991467027
1R 9 335.01336598543514
1R 10 293.0227527416157
1R 11 249.22567070286865
1R 12 244.03547345745903
1R 13 246.99290849597307
1R 14 242.2684016461405
1R 15 246.9130411111318
1R 16 242.2350334037355
1R 17 308.2145646334308
1R 18 391.1452008402381
1R 19 396.3386214238161
1R 20 366.819731979459
1R 21 372.0524896997504
1R 22 342.4466253663068
1R 23 323.2536829788162
1R 24 293.63835487612846
1R 25 336.48630062715716
1R 26 331.2773060179406
1R 27 336.55338542522134
1R 28 331.32719983976074
1R 29 348.80705504646795
1R 30 405.3827381643295
1R 31 469.5174932665322
1R 32 602.165963863188
1R 33 1277.431078273478
1R 34 1239.7346181539797
1R 35 1190.4923059747343
1R 36 1190.3187919905265
1R 37 1140.4626515638315
1R 38 1190.145865564149
1R 39 1190.1124530747788
1R 40 1190.0713985424065
1R 41 1249.2409442521239
1R 42 1137.9679547282021
1R 43 888.9025891013374
1R 44 864.4661707762941
1R 45 665.228020657659
1R 46 640.7937938627127
1R 47 384.61042110295944
1R 48 322.7854347782124
1R 49 311.3259346484976
1R 50 312.08467960282985
1R 51 312.4879573415208
1R 52 324.10306276737816
1R 53 343.59495459969526
1R 54 403.3203331643942
1R 55 466.99373813926843
1R 56 599.207777481873
1R 57 1275.850379563781
1R 58 1239.0287734953465
1R 59 1190.0498372901832
1R 60 1189.9921282633932
1R 61 1140.1747520241997
1R 62 1189.9804143494503
1R 63 1189.9492953571898
1R 64 1189.9530777515954
1R 65 1249.1482296322267
1R 66 1137.818423238107
1R 67 888.6634550786101
1R 68 864.2274882113592
1R 69 664.9603261469109
1R 70 640.5701316485013
1R 71 384.6104216488201
1R 72 322.78543541900535
1R 73 310.563229140459
1R 74 310.56322915019564
1R 75 310.56322920192156
1R 76 310.56322928285744
1R 77 322.785436009898
1R 78 384.61183211379074
1R 79 466.23607213114786
1R 80 598.8661164171849
1R 81 1275.750262318892
1R 82 1239.0336929412172
1R 83 1190.114671849225
1R 84 1190.092567821652
1R 85 1140.2700945949553
1R 86 1190.0744727967212
1R 87 1190.0585579769524
1R 88 1190.0565200302565
1R 89 1249.2157979611998
1R 90 1137.8688177504553
1R 91 888.708000861452
1R 92 864.2675822358925
1R 93 664.9450549802174
1R 94 640.5066709787241
1R 95 384.61042225431765
1R 96 322.7854358754106
1R 97 310.5632297264833
1R 98 310.5632298189814
1R 99 310.56322976968966
1R 100 310.5632297879459
1R 101 322.78543661843827
1R 102 384.6118326833845
1R 103 465.9810624232701
1R 104 598.7163452607952
1R 105 1275.6994238398825
1R 106 1250.8012926195986
1R 107 1227.1777649466524
1R 108 1231.681060088866
1R 109 1187.4367149826398
1R 110 1245.3311019797895
1R 111 1246.5461585138978
1R 112 1272.3602755231252
1R 113 1341.5799414928504
1R 114 1224.364538267418
1R 115 968.5304808506661
1R 116 939.3781598514336
1R 117 739.9412424458549
1R 118 715.4526011578507
1R 119 384.6104230210785
1R 120 322.78543661235284
1R 121 310.5632304208278
1R 122 310.5632304031801
1R 123 310.56323035388834
1R 124 310.56323036058234
1R 125 322.7854372002028
1R 126 384.61183348483206
1R 127 465.8393949960201
1R 128 619.9754589077892
1R 129 1286.7370418084527
1R 130 1238.8933647955448
