param bd :=
1R 1 598.6705082558785
1R 2 604.8317967104692
1R 3 612.3741125740527
1R 4 614.4400711662228
1R 5 635.9390638669604
1R 6 627.1393864280371
1R 7 720.316362026745
1R 8 712.6341599330732
1R 9 790.5766050222469
1R 10 787.2359464439445
1R 11 786.3598133404057
1R 12 785.4951776334666
1R 13 786.5709469997005
1R 14 793.6972131783327
1R 15 819.8529754666
1R 16 832.7286300776092
1R 17 805.1356299591414
1R 18 754.8027196290268
1R 19 698.3173515215138
1R 20 686.8160287401968
1R 21 656.6783895892602
1R 22 654.3577069924149
1R 23 618.039596311908
1R 24 614.9606201008643
1R 25 614.9588420899709
1R 26 612.9014222542984
1R 27 608.5518379598225
1R 28 609.0517571616634
1R 29 740.6271026350729
1R 30 740.7727572866276
1R 31 1023.5105924522496
1R 32 1163.6317637130783
1R 33 1209.0662952573266
1R 34 1251.6726729202755
1R 35 1253.6209263096487
1R 36 1250.4947809288522
1R 37 1203.823566277823
1R 38 1246.0173272357504
1R 39 1256.2310429969912
1R 40 1259.0442242194476
1R 41 1265.6514154135007
1R 42 1280.1745732527709
1R 43 949.4246349168394
1R 44 923.9508660461069
1R 45 745.6702720691067
1R 46 705.3153427679438
1R 47 598.2903505915325
1R 48 601.730310566626
1R 49 593.0358860302841
1R 50 590.7688179184586
1R 51 592.1304149554408
1R 52 591.4036225849508
1R 53 728.5185332978525
1R 54 731.7034215738105
1R 55 1012.9438793813017
1R 56 1146.0107105797317
1R 57 1179.1975129553095
1R 58 1208.0662141393036
1R 59 1214.803922332943
1R 60 1218.9547376971707
1R 61 1178.290042694108
1R 62 1212.0223903965618
1R 63 1212.9545314084248
1R 64 1213.362400203035
1R 65 1224.618479643743
1R 66 1239.9889897419803
1R 67 911.2243021917423
1R 68 903.3118480765594
1R 69 735.936126932815
1R 70 697.1654255183039
1R 71 585.1278780168753
1R 72 586.2332646418936
1R 73 573.7698027676817
1R 74 573.6592240302485
1R 75 574.1009943880025
1R 76 574.3589731927151
1R 77 709.9430664110772
1R 78 711.1669427487706
1R 79 996.3619487382308
1R 80 1139.4219858359966
1R 81 1177.209091569823
1R 82 1212.6304779927832
1R 83 1221.9837672840188
1R 84 1224.4626869721956
1R 85 1183.0984310171527
1R 86 1216.939232225383
1R 87 1217.48254107388
1R 88 1217.7868042999705
1R 89 1230.1040031358193
1R 90 1246.2242737613926
1R 91 915.6391833562533
1R 92 908.7573877484427
1R 93 742.2065987937677
1R 94 704.1461900045846
1R 95 591.9336363834177
1R 96 592.9481950777939
1R 97 580.5728545614609
1R 98 580.554522006169
1R 99 580.5460247241413
1R 100 580.5252115061961
1R 101 715.9195068129956
1R 102 717.9569737639265
1R 103 1003.093596066394
1R 104 1144.390469209866
1R 105 1180.9195500760943
1R 106 1218.858045532649
1R 107 1236.3883020071162
1R 108 1245.5891074670774
1R 109 1207.6168715183542
1R 110 1244.286933702398
1R 111 1247.5102597139514
1R 112 1248.6382776397934
1R 113 1259.3020084470602
1R 114 1271.1404543274118
1R 115 936.2423954521722
1R 116 926.943182051759
1R 117 758.8003065822106
1R 118 719.1637860986838
1R 119 603.4804451645797
1R 120 595.4295128006511
1R 121 576.3205671140194
1R 122 575.0725732403258
1R 123 574.7267213368898
1R 124 574.6822241258982
1R 125 712.6318660629164
1R 126 714.7833378699668
1R 127 1000.5835774103512
1R 128 1149.3354480350654
1R 129 1182.124573399486
1R 130 1215.5963477441414
1R 131 1224.1008830903545
1R 132 1228.319713623516
1R 133 1194.4404076620146
1R 134 1239.712150679509
1R 135 1248.1174937172684
1R 136 1252.9554401358005
1R 137 1256.4435823893114
1R 138 1265.800200515335
1R 139 923.4491183439269
1R 140 913.7263715356382
1R 141 743.2961952044582
1R 142 700.1108091515941
1R 143 586.8485128809978
1R 144 587.7490965365887
1R 145 575.5702730773568
1R 146 574.8479854028812
1R 147 574.0138691159282
1R 148 574.0909355273725
1R 149 606.9541391962283
1R 150 606.5249885669754
1R 151 702.0827941851527
1R 152 830.7236797793124
1R 153 835.790813338154
1R 154 954.9650965370332
1R 155 963.2073297713022
1R 156 966.3353501243731
1R 157 935.3758069579343
1R 158 927.8641563634316
1R 159 927.6958292009542
1R 160 838.3187737028488
1R 161 845.4677205615471
1R 162 823.2803910287084
1R 163 761.809404230878
1R 164 754.9825247463646
1R 165 621.7557289142222
1R 166 622.0471623174484
1R 167 589.032279678341
1R 168 589.3465937184127
1R 169 559.1145080188029
1R 170 558.1282663985864
1R 171 557.2970339199954
1R 172 556.7539527872391
1R 173 589.7322264880231
1R 174 589.8974952525759
1R 175 685.5227806642575
1R 176 677.3400759723665
1R 177 758.511343866088
1R 178 753.0048947394449
1R 179 761.1415020474435
1R 180 765.1910397419726
1R 181 766.3348737370119
1R 182 755.6694481600723
1R 183 755.1824497239647
1R 184 757.2272887192662
1R 185 730.2208475250886
1R 186 695.9688838511372
1R 187 641.4715282998119
1R 188 633.8341282098287
1R 189 601.5326846334127
1R 190 600.4096936821809
1R 191 566.8885544529309
1R 192 567.9040536221554
1R 193 572.7910667992322
1R 194 580.5385850131838
1R 195 583.5150160984217
1R 196 583.0291422464087
1R 197 715.7808993503747
1R 198 720.6721323593853
1R 199 1006.6140150724711
1R 200 1141.3801490853846
1R 201 1170.092967758188
1R 202 1204.3991624614816
1R 203 1212.8486298586563
1R 204 1214.0569656661448
1R 205 1172.847450736282
1R 206 1216.726025013159
1R 207 1222.5441439203776
1R 208 1213.0923227521573
1R 209 1223.4720062223137
1R 210 1253.282702403634
1R 211 923.488415210264
1R 212 909.6711248131985
1R 213 736.7844599688743
1R 214 698.730732786865
1R 215 589.1069033469352
1R 216 601.9176349403741
1R 217 596.6549965120615
1R 218 591.3743408386257
1R 219 594.7968655857477
1R 220 599.0174735785774
1R 221 732.8470137290268
1R 222 728.6607178001473
1R 223 1012.5317027184199
1R 224 1154.4226177415771
1R 225 1181.5011983645459
1R 226 1209.7537488210653
1R 227 1215.5826864200249
1R 228 1217.8098662635766
1R 229 1177.7705583607915
1R 230 1213.7705109940748
1R 231 1214.7739707199707
1R 232 1219.7502325726646
1R 233 1223.7613558117573
1R 234 1241.3803736988434
1R 235 910.8347593509004
1R 236 904.9856146003859
1R 237 742.8111878910037
1R 238 701.3789233755281
1R 239 586.1460680733636
1R 240 585.623813353847
1R 241 574.8952736481501
1R 242 581.3448229858012
1R 243 588.1634008306239
1R 244 591.2874444157542
1R 245 718.6504484002578
1R 246 715.1966318866661
1R 247 996.4711101614802
1R 248 1141.634638978245
1R 249 1177.3311594021393
1R 250 1212.267877276411
1R 251 1219.705912617429
1R 252 1219.9691597202373
1R 253 1182.7110261706553
1R 254 1219.8808910223972
1R 255 1221.2478140740964
1R 256 1223.2462579137596
1R 257 1229.3121310509232
1R 258 1251.288905424166
1R 259 921.6690777397221
1R 260 914.3296097448265
1R 261 738.262624499815
1R 262 702.0204326393979
1R 263 596.056358997369
1R 264 608.3333016635412
1R 265 601.7845383459871
1R 266 599.4943015530295
1R 267 599.8133180564997
1R 268 600.2755620076458
1R 269 735.003477356314
1R 270 738.7558709466485
1R 271 1020.2250910889204
1R 272 1159.4114267610564
1R 273 1180.8766599651453
1R 274 1209.19547250036
1R 275 1219.6901280680845
1R 276 1228.5854902921967
1R 277 1209.9791562460084
1R 278 1253.7192192680718
1R 279 1256.3353496062352
1R 280 1259.280408083279
1R 281 1265.7259923264062
1R 282 1265.5155711199825
1R 283 924.4001995652491
1R 284 923.5074103329259
1R 285 758.8841721645459
1R 286 722.3761267019191
1R 287 613.6858368355222
1R 288 622.2237800036274
1R 289 610.3029949147764
1R 290 604.1156918168433
1R 291 605.6316053525777
1R 292 595.77732208493
1R 293 732.4789559699032
1R 294 737.2019366877159
1R 295 1017.3437814366264
1R 296 1153.7310807768774
1R 297 1181.3664786326392
1R 298 1211.0649641147504
1R 299 1220.1352978825873
1R 300 1222.7878711278468
1R 301 1183.310186460124
1R 302 1219.004428881552
1R 303 1220.2439833914125
1R 304 1220.845769048313
1R 305 1227.5538705130448
1R 306 1247.9969604697962
1R 307 912.6820346789632
1R 308 904.9697459949997
1R 309 737.1801342521868
