param bd :=
1R 1 22.059828841947144
1R 2 21.363385147119534
1R 3 21.291119867764653
1R 4 21.187945915017462
1R 5 23.494217687252092
1R 6 28.23600761555488
1R 7 33.49953579817061
1R 8 31.805514209170845
1R 9 27.131061982767093
1R 10 23.495880602213255
1R 11 19.891285001993822
1R 12 19.646267038534234
1R 13 19.25551029826182
1R 14 18.683894950267433
1R 15 18.419293882633458
1R 16 19.791950674968763
1R 17 28.478433936333772
1R 18 41.31570735275245
1R 19 43.91497312422386
1R 20 43.30640848238944
1R 21 42.98427447863971
1R 22 37.731746236067444
1R 23 31.20932067104007
1R 24 25.703382843138076
1R 25 22.292405961483823
1R 26 21.918643120938377
1R 27 21.970569842697692
1R 28 22.030828160800738
1R 29 24.17678595064325
1R 30 28.660791562438114
1R 31 33.99585896003322
1R 32 32.698593281007106
1R 33 30.09936947065706
1R 34 26.395063286688252
1R 35 22.818074971067286
1R 36 22.50025804351859
1R 37 21.733264666874323
1R 38 21.452037021645353
1R 39 21.264200609637374
1R 40 22.56337655908494
1R 41 31.12403004848007
1R 42 41.573306149065054
1R 43 43.758823665432914
1R 44 42.91056935588826
1R 45 42.56071568667185
1R 46 37.18422353607671
1R 47 30.50386045462209
1R 48 24.91679178119664
1R 49 21.51529587581592
1R 50 21.084702444326606
1R 51 20.94397957949084
1R 52 20.828242389789782
1R 53 22.864621777830987
1R 54 27.336166181992628
1R 55 32.42741928116441
1R 56 30.952268614581445
1R 57 28.69174128869486
1R 58 25.34049739287764
1R 59 21.778683798375635
1R 60 21.480795447428655
1R 61 20.94089446347174
1R 62 20.772897856595176
1R 63 20.567756113487643
1R 64 21.946314332162984
1R 65 30.615056469216178
1R 66 40.98972397691609
1R 67 43.06792396639882
1R 68 42.183150228326014
1R 69 41.777801701307574
1R 70 36.37102377208143
1R 71 29.663061188108635
1R 72 23.876557021547686
1R 73 20.340829950170406
1R 74 19.89827782393827
1R 75 19.64126558790652
1R 76 19.515811286083718
1R 77 21.58418461033177
1R 78 26.187341760651123
1R 79 31.4831632749605
1R 80 30.100301803315578
1R 81 27.934637468944988
1R 82 25.01063666964884
1R 83 21.948686370851853
1R 84 21.99101331680804
1R 85 21.57884124961175
1R 86 21.41882314612188
1R 87 21.29112434131936
1R 88 22.641194694435242
1R 89 31.062426907614924
1R 90 41.22082649512936
1R 91 43.12401151249445
1R 92 42.140845787394746
1R 93 41.69940274340919
1R 94 36.25864016181896
1R 95 29.447228961389303
1R 96 23.689730000080054
1R 97 20.112373982060838
1R 98 19.574254018276275
1R 99 19.310081684617796
1R 100 19.18299879248632
1R 101 21.251264284063932
1R 102 25.715345753951453
1R 103 30.96201334932623
1R 104 29.6669704834262
1R 105 27.683784182478412
